Date,Home Team,Home Score,Away Team,Away Score,TV Coverage,Referee
2024-09-20,Ulster,20,Glasgow Warriors,19,BBC Northern Ireland,Andrew Brace
2024-09-21,Dragons,23,Ospreys,21,Premier Sports,Adam Jones
2024-09-21,Munster,35,Connacht,33,TG4,Frank Murphy
2024-09-21,Benetton,20,Scarlets,20,Premier Sports,Gianluca Gnecchi
2024-09-27,Glasgow Warriors,42,Benetton,10,BBC Scotland,Ben Whitehouse
2024-09-27,Leinster,34,Dragons,6,TG4,Chris Busby
2024-09-28,Lions,35,Ulster,22,SuperSport,Jaco Peyper
2024-09-28,Bulls,22,Edinburgh,16,SuperSport,Marius van der Westhuizen
2024-09-28,Zebre Parma,42,Munster,33,Premier Sports,Andrea Piardi
2024-10-04,Scarlets,23,Connacht,24,S4C,Craig Evans
2024-10-04,Cardiff,36,Glasgow Warriors,52,BBC Wales,Dan Jones
2024-10-05,Lions,55,Edinburgh,21,SuperSport,AJ Jacobs
2024-10-05,Bulls,47,Ulster,21,SuperSport,Marius Jonker
2024-10-05,Benetton,5,Leinster,35,Premier Sports,Mike Adamson
2024-10-05,Dragons,30,Sharks,33,Premier Sports,Andrew Brace
2024-10-05,Zebre,5,Stormers,36,Premier Sports,Chris Busby
2024-10-05,Munster,23,Ospreys,0,TG4,Frank Murphy
2024-12-28,Stormers,24,Sharks,20,SuperSport,Marius van der Westhuizen
2025-02-28,Munster,28,Edinburgh,34,TG4,Andrea Piardi
2025-02-28,Zebre,31,Dragons,21,Premier Sports,Chris Busby
2025-03-22,Scarlets,,Stormers,,S4C,To Be Announced
2025-03-29,Scarlets,,Ospreys,,S4C,To Be Announced
2025-04-18,Edinburgh,,Sharks,,BBC Scotland,To Be Announced
2025-04-19,Lions,,Benetton,,SuperSport,To Be Announced
2025-04-19,Stormers,,Connacht,,SuperSport,To Be Announced
2025-04-19,Ospreys,,Cardiff,,S4C,To Be Announced
2025-04-19,Munster,,Bulls,,TG4,To Be Announced
2025-04-19,Dragons,,Scarlets,,Premier Sports,To Be Announced
2025-04-19,Zebre,,Glasgow Warriors,,Premier Sports,To Be Announced
2025-04-19,Leinster,,Ulster,,TG4,To Be Announced
2025-04-26,Scarlets,,Leinster,,S4C,To Be Announced
2025-05-11,Lions,,Scarlets,,SuperSport,To Be Announced
2025-05-16,Stormers,,Cardiff,,SuperSport,To Be Announced
2025-05-16,Edinburgh,,Ulster,,BBC Scotland,To Be Announced
2025-05-16,Munster,,Benetton,,TG4,To Be Announced
2025-05-17,Bulls,,Dragons,,SuperSport,To Be Announced
2025-05-17,Lions,,Ospreys,,SuperSport,To Be Announced
2025-05-17,Zebre,,Connacht,,Premier Sports,To Be Announced
2025-05-17,Sharks,,Scarlets,,SuperSport,To Be Announced
2025-05-17,Leinster,,Glasgow Warriors,,TG4,To Be Announced
