URL,club,First Name,Last Name,Position,Age,Height,Weight,Unnamed: 7,points_scored,tries_scored,offloads,meters_gained,defenders_beaten,clean_breaks,tackles_made,tackle_success_percentage,total_tackles_missed,turnovers_lost,turnovers_won,penalties_scored,penalties_missed,conversions_scored,conversions_missed,drop_goals_scored,drop_goals_missed,kicks_from_hand,kicks_retained,tries_from_kicks,kick_meters,yellow_cards,red_cards,penalties_conceded,scrum_offences,lineout_offences,lineouts_won,lineouts_lost,lineout_success_percentage,lineout_steals,scrums_won,scrums_lost,scrums_won_percentage,scrum_penalties_won
https://www.unitedrugby.com/clubs/benetton/destiny-aminu,benetton,DESTINY,AMINU,PROP,21,6'1'',122KG,,51,3,19,391,25,3,7,76.8,3,9,8,10,7,1,0,1,1,26,4,4,90,0,1,17,1,0,1,9,97.3,4,1,5,66.6,1
https://www.unitedrugby.com/clubs/benetton/enzo-avaca,benetton,ENZO,AVACA,PROP,24,6'2'',118KG,,92,9,6,536,15,0,10,66.7,7,9,0,8,2,2,1,2,0,9,1,4,28,0,0,20,0,4,2,8,75.9,5,4,3,96.6,0
https://www.unitedrugby.com/clubs/benetton/bautista-bernasconi,benetton,BAUTISTA,BERNASCONI,HOOKER,23,5'9'',113KG,,14,7,2,78,11,8,32,95.2,10,0,5,5,3,9,10,3,1,18,27,5,115,2,0,11,5,3,5,5,91.6,1,0,3,93.6,5
https://www.unitedrugby.com/clubs/benetton/lorenzo-cannone,benetton,LORENZO,CANNONE,NO. 8,24,6'3'',102KG,,71,0,17,579,11,14,53,82.3,5,3,0,1,2,8,9,0,1,4,22,0,69,2,1,11,2,5,5,6,87.9,0,1,1,73.6,1
https://www.unitedrugby.com/clubs/benetton/niccolo-cannone,benetton,NICCOLO,CANNONE,LOCK,26,6'6'',120KG,,60,9,9,172,19,7,60,69.3,7,6,2,0,6,8,5,3,3,25,10,5,122,1,0,0,1,4,6,3,75.9,2,1,2,67.7,3
https://www.unitedrugby.com/clubs/benetton/agustin-creevy,benetton,AGUSTIN,CREEVY,HOOKER,39,6'0'',106KG,,20,0,6,11,5,1,37,80.1,0,8,10,0,8,4,0,3,2,4,17,1,22,1,0,19,0,5,8,9,82.4,5,1,3,85.5,4
https://www.unitedrugby.com/clubs/benetton/riccardo-favretto,benetton,RICCARDO,FAVRETTO,LOCK,23,6'7'',105KG,,82,11,16,127,30,7,47,89.3,5,2,5,8,2,2,9,2,2,8,24,5,45,1,1,7,4,3,3,0,70.3,1,1,5,65.7,5
https://www.unitedrugby.com/clubs/benetton/simone-ferrari,benetton,SIMONE,FERRARI,PROP,30,6'0'',120KG,,86,3,13,91,22,14,26,98.3,0,10,2,3,5,1,2,1,0,26,24,4,7,1,1,16,2,4,4,8,76.5,5,4,5,56.0,0
https://www.unitedrugby.com/clubs/benetton/thomas-gallo,benetton,THOMAS,GALLO,PROP,25,5'9'',107KG,,74,7,2,542,25,15,19,68.8,0,6,7,4,7,7,6,3,3,27,18,5,65,0,0,20,0,4,10,5,75.4,3,5,3,65.5,1
https://www.unitedrugby.com/clubs/benetton/marcos-gallorini,benetton,MARCOS,GALLORINI,PROP,20,6'3'',135KG,,74,4,11,531,3,6,11,95.4,7,6,4,2,5,5,7,2,2,25,12,2,99,0,1,19,1,5,1,2,85.5,3,3,2,71.7,2
https://www.unitedrugby.com/clubs/benetton/riccardo-genovese,benetton,RICCARDO,GENOVESE,PROP,22,6'2'',126KG,,87,1,12,446,5,10,42,97.4,6,6,1,3,1,9,3,2,1,26,23,0,60,2,1,6,1,1,5,3,70.5,3,1,4,62.8,5
https://www.unitedrugby.com/clubs/benetton/toa-halafihi,benetton,TOA,HALAFIHI,NO. 8,31,6'3'',107KG,,99,5,1,389,10,5,60,96.7,2,1,3,7,6,10,2,1,1,19,10,4,111,1,1,8,4,5,3,9,55.0,2,1,1,60.8,0
https://www.unitedrugby.com/clubs/benetton/alessandro-izekor,benetton,ALESSANDRO,IZEKOR,FLANKER,24,6'5'',110KG,,23,4,2,42,0,0,30,85.4,5,5,8,3,1,6,0,2,3,16,19,3,51,1,0,16,2,5,4,5,89.4,4,0,4,50.3,3
https://www.unitedrugby.com/clubs/benetton/jadin-kingi,benetton,JADIN,KINGI,LOCK,22,6'6'',108KG,,2,1,4,253,29,14,26,85.2,8,1,3,8,1,0,8,1,0,9,18,5,35,1,1,9,2,5,6,5,84.2,0,2,4,81.5,5
https://www.unitedrugby.com/clubs/benetton/simon-koroiyadi,benetton,SIMON,KOROIYADI,FLANKER,20,,,,21,12,10,129,23,6,31,76.1,6,5,9,8,1,0,9,0,3,20,16,4,111,0,1,3,5,3,5,8,97.5,2,4,0,80.7,4
https://www.unitedrugby.com/clubs/benetton/michele-lamaro,benetton,MICHELE,LAMARO,FLANKER,26,6'2'',103KG,,52,13,7,59,22,9,60,90.1,2,9,9,5,10,9,5,3,0,0,4,3,86,2,0,6,0,2,7,3,71.4,1,1,0,59.4,3
https://www.unitedrugby.com/clubs/benetton/siua-maile,benetton,SIUA,MAILE,HOOKER,27,5'11'',113KG,,1,10,11,466,14,6,9,81.3,5,2,7,1,0,1,5,2,3,21,12,3,84,0,0,6,5,5,5,4,53.9,1,3,1,97.2,3
https://www.unitedrugby.com/clubs/benetton/marco-manfredi,benetton,MARCO,MANFREDI,HOOKER,27,6'0'',110KG,,87,10,6,286,26,12,2,87.1,10,1,4,9,10,9,8,0,1,27,29,1,12,2,0,7,1,4,9,4,56.1,3,3,2,70.5,5
https://www.unitedrugby.com/clubs/benetton/giulio-marini,benetton,GIULIO,MARINI,FLANKER,23,6'5'',115KG,,29,15,14,516,10,13,44,77.1,3,5,10,10,0,2,0,2,3,15,26,1,46,2,0,7,1,0,7,2,88.7,0,3,0,51.3,2
https://www.unitedrugby.com/clubs/benetton/sebastian-negri,benetton,SEBASTIAN,NEGRI,FLANKER,30,6'5'',110KG,,37,10,16,466,24,8,26,89.3,2,1,10,6,6,0,5,2,2,25,19,4,89,0,0,15,4,1,3,1,53.4,3,0,3,61.0,2
https://www.unitedrugby.com/clubs/benetton/ivan-nemer,benetton,IVAN,NEMER,PROP,26,5'11'',116KG,,1,2,3,344,18,0,34,93.0,8,4,9,8,4,4,4,0,2,25,0,4,21,0,1,11,4,5,6,7,95.4,1,3,1,84.6,5
https://www.unitedrugby.com/clubs/benetton/tiziano-pasquali,benetton,TIZIANO,PASQUALI,PROP,30,6'0'',111KG,,63,14,12,381,17,1,30,65.9,9,1,0,5,10,2,10,2,3,14,9,2,57,2,0,14,2,5,2,9,64.1,1,5,5,60.1,5
https://www.unitedrugby.com/clubs/benetton/federico-ruzza,benetton,FEDERICO,RUZZA,LOCK,30,6'6'',108KG,,59,8,17,252,16,10,14,93.3,1,2,6,2,2,0,5,2,0,22,7,0,29,0,1,7,5,1,0,8,94.9,4,0,4,52.7,5
https://www.unitedrugby.com/clubs/benetton/scott-scrafton,benetton,SCOTT,SCRAFTON,LOCK,31,6'7'',120KG,,20,6,0,55,18,8,15,81.6,0,2,2,6,0,7,10,0,0,16,23,0,145,0,0,8,1,5,8,9,88.7,4,4,1,80.9,4
https://www.unitedrugby.com/clubs/benetton/eli-snyman,benetton,ELI,SNYMAN,LOCK,29,6'7'',111KG,,32,6,15,462,20,12,60,93.8,1,5,9,4,10,10,7,2,1,25,28,4,105,2,1,2,0,4,8,10,93.6,4,3,5,75.9,1
https://www.unitedrugby.com/clubs/benetton/mirco-spagnolo,benetton,MIRCO,SPAGNOLO,PROP,24,6'1'',110KG,,75,15,12,456,13,8,12,77.3,6,5,7,0,9,5,4,1,1,19,7,1,145,2,1,20,3,2,5,8,60.7,3,2,5,88.1,3
https://www.unitedrugby.com/clubs/benetton/nahuel-tetaz-chaparro,benetton,NAHUEL,TETAZ CHAPARRO,PROP,35,6'3'',115KG,,57,14,9,82,26,12,48,75.2,9,9,2,2,5,8,1,2,0,24,18,5,73,1,0,15,0,5,1,4,79.8,5,1,0,88.6,5
https://www.unitedrugby.com/clubs/benetton/giosue-zilocchi,benetton,GIOSUE,ZILOCCHI,PROP,28,6'1'',115KG,,21,10,11,98,17,5,34,96.6,0,2,0,4,10,2,1,3,3,12,5,2,93,0,0,14,4,1,7,10,54.7,0,4,5,98.0,1
https://www.unitedrugby.com/clubs/benetton/manuel-zuliani,benetton,MANUEL,ZULIANI,FLANKER,24,6'2'',108KG,,88,5,1,148,27,5,51,70.0,5,2,4,6,0,8,9,2,1,0,11,0,70,2,0,3,0,5,9,8,60.1,4,5,2,52.9,4
https://www.unitedrugby.com/clubs/benetton/tomas-albornoz,benetton,TOMAS,ALBORNOZ,FLY-HALF,27,5'10'',82KG,,48,15,2,328,18,3,10,93.8,6,0,1,2,8,8,4,3,0,24,27,4,6,0,0,19,1,3,5,3,65.5,2,2,5,51.9,3
https://www.unitedrugby.com/clubs/benetton/giuliano-avaca,benetton,GIULIANO,AVACA,FLY-HALF,21,5'11'',89KG,,90,7,9,155,14,3,58,79.4,8,6,10,5,1,0,2,3,0,7,6,1,64,0,0,15,5,4,6,1,87.0,4,4,5,99.4,1
https://www.unitedrugby.com/clubs/benetton/lautaro-bazan-velez,benetton,LAUTARO,BAZAN VELEZ,SCRUM-HALF,28,5'8'',80KG,,58,3,1,189,30,4,20,80.6,7,7,3,4,0,2,9,2,3,4,15,1,45,2,0,9,2,4,0,2,51.2,3,5,4,82.2,3
https://www.unitedrugby.com/clubs/benetton/nacho-brex,benetton,NACHO,BREX,CENTRE,32,6'2'',99KG,,41,7,12,493,14,2,50,72.3,5,1,0,0,6,5,2,0,2,5,8,1,17,1,1,10,5,2,2,0,95.2,0,3,2,85.8,2
https://www.unitedrugby.com/clubs/benetton/nicolo-casilio,benetton,NICOLO,CASILIO,SCRUM-HALF,26,5'11'',84KG,,91,3,12,262,3,0,53,82.9,2,3,8,9,5,7,7,1,0,22,20,5,140,2,1,4,3,3,0,4,53.5,4,4,1,54.8,5
https://www.unitedrugby.com/clubs/benetton/malakai-fekitoa,benetton,MALAKAI,FEKITOA,CENTRE,32,6'2'',100KG,,59,7,17,79,6,14,10,73.0,7,9,5,5,5,3,6,1,1,19,24,3,7,2,1,10,2,3,9,0,68.8,0,4,2,53.5,2
https://www.unitedrugby.com/clubs/benetton/matt-gallagher,benetton,MATT,GALLAGHER,FULLBACK,28,6'1'',96KG,,79,8,2,399,12,0,29,61.6,6,6,7,7,4,4,0,2,3,29,21,5,73,0,1,12,3,2,0,10,54.1,2,4,2,58.0,0
https://www.unitedrugby.com/clubs/benetton/alessandro-garbisi,benetton,ALESSANDRO,GARBISI,SCRUM-HALF,22,5'9'',83KG,,14,2,6,259,2,11,59,70.9,2,7,10,0,10,8,4,0,3,13,9,1,144,1,1,14,3,0,10,0,88.4,1,0,1,71.4,4
https://www.unitedrugby.com/clubs/benetton/louis-lynagh,benetton,LOUIS,LYNAGH,WING,24,6'2'',96KG,,61,15,13,551,15,15,47,60.3,8,0,3,1,3,5,8,0,3,21,9,4,101,2,0,5,1,5,0,10,57.1,0,2,4,55.5,5
https://www.unitedrugby.com/clubs/benetton/leonardo-marin,benetton,LEONARDO,MARIN,FLY-HALF,22,6'2'',88KG,,61,2,19,100,30,14,52,99.1,1,3,8,3,10,6,3,1,2,22,9,2,78,0,0,15,1,3,3,10,94.2,5,5,5,72.3,1
https://www.unitedrugby.com/clubs/benetton/ignacio-mendy,benetton,IGNACIO,MENDY,WING,24,6'1'',81KG,,46,10,16,358,8,12,34,98.6,2,5,1,1,3,6,0,0,2,10,19,5,78,2,1,14,4,0,6,6,76.5,4,3,2,78.1,3
https://www.unitedrugby.com/clubs/benetton/tommaso-menoncello,benetton,TOMMASO,MENONCELLO,CENTRE,22,6'2'',90KG,,61,12,20,379,7,6,21,75.8,1,2,8,10,2,3,7,2,1,30,28,4,120,0,1,10,4,0,6,1,97.4,3,1,2,50.0,0
https://www.unitedrugby.com/clubs/benetton/paolo-odogwu,benetton,PAOLO,ODOGWU,WING,27,5'9'',100KG,,50,15,11,220,19,15,37,89.1,0,4,4,8,9,3,4,2,1,5,15,1,62,2,0,19,3,4,4,7,64.5,5,3,1,55.7,4
https://www.unitedrugby.com/clubs/benetton/onisi-ratave,benetton,ONISI,RATAVE,WING,32,5'10'',100KG,,54,1,15,419,12,0,30,73.8,3,9,5,9,7,3,1,0,3,10,0,2,39,1,0,1,5,5,5,5,72.7,5,3,3,68.8,4
https://www.unitedrugby.com/clubs/benetton/rhyno-smith,benetton,RHYNO,SMITH,FULLBACK,32,5'8'',83KG,,63,12,11,123,16,0,13,86.8,4,8,2,7,6,10,0,2,1,12,16,0,83,2,0,1,4,4,1,3,84.7,3,0,2,52.7,4
https://www.unitedrugby.com/clubs/benetton/jacob-umaga,benetton,JACOB,UMAGA,FLY-HALF,26,6'0'',91KG,,2,9,14,421,16,2,23,92.2,5,10,3,7,8,4,2,3,0,30,29,0,14,0,0,11,1,1,4,8,91.6,3,0,0,56.7,1
https://www.unitedrugby.com/clubs/benetton/andy-uren,benetton,ANDY,UREN,SCRUM-HALF,28,5'10'',92KG,,100,2,9,230,16,9,49,97.9,4,2,5,3,0,4,8,1,2,11,25,4,98,2,1,15,4,4,6,9,71.1,3,4,5,61.6,5
https://www.unitedrugby.com/clubs/benetton/federico-zanandrea,benetton,FEDERICO,ZANANDREA,CENTRE,20,6'2'',97KG,,50,2,6,62,0,14,48,76.0,0,4,6,4,6,7,0,2,3,21,20,2,133,1,1,18,3,3,8,7,94.6,5,3,5,71.5,2
https://www.unitedrugby.com/clubs/benetton/marco-zanon,benetton,MARCO,ZANON,CENTRE,27,6'2'',97KG,,6,4,19,484,7,3,31,91.3,2,7,0,3,9,8,3,0,3,1,28,4,120,1,0,1,2,3,5,9,55.9,0,2,4,85.7,0
https://www.unitedrugby.com/clubs/cardiff-rugby/keiron-assiratti,cardiff-rugby,KEIRON,ASSIRATTI,PROP,27,6'2'',120KG,,20,4,4,573,18,15,35,70.6,0,5,6,8,3,1,7,1,0,20,13,2,62,1,0,16,5,5,9,2,85.4,3,0,2,56.6,1
https://www.unitedrugby.com/clubs/cardiff-rugby/rhys-barratt,cardiff-rugby,RHYS,BARRATT,PROP,22,6'0'',110KG,,72,1,0,482,30,15,31,99.6,10,3,0,1,6,10,7,2,0,2,18,2,135,1,1,13,5,0,3,2,67.4,1,5,1,86.9,3
https://www.unitedrugby.com/clubs/cardiff-rugby/liam-belcher,cardiff-rugby,LIAM,BELCHER,HOOKER,28,5'9'',106KG,,38,11,16,518,5,15,54,61.0,4,7,4,10,0,6,9,1,0,22,20,4,127,0,1,15,0,3,2,3,55.1,5,0,0,92.8,1
https://www.unitedrugby.com/clubs/cardiff-rugby/james-botham,cardiff-rugby,JAMES,BOTHAM,FLANKER,26,6'2'',108KG,,17,9,2,154,2,3,14,84.1,4,10,5,7,4,0,10,0,0,3,20,2,111,2,1,4,4,4,8,8,69.3,5,2,1,82.6,3
https://www.unitedrugby.com/clubs/cardiff-rugby/gwilym-bradley,cardiff-rugby,GWILYM,BRADLEY,FLANKER,24,6'2'',105KG,,3,12,12,91,26,1,42,86.4,10,2,1,1,2,0,10,3,3,16,16,5,110,1,0,9,5,4,6,8,94.0,5,0,2,52.2,3
https://www.unitedrugby.com/clubs/cardiff-rugby/ed-byrne,cardiff-rugby,ED,BYRNE,PROP,31,5'11'',115KG,,88,5,13,525,4,0,57,87.5,5,2,9,0,4,3,7,3,2,27,13,1,31,2,1,16,1,5,10,4,99.0,2,2,0,72.0,4
https://www.unitedrugby.com/clubs/cardiff-rugby/joe-cowell,cardiff-rugby,JOE,COWELL,PROP,23,6'2'',116KG,,59,4,17,454,12,2,34,64.8,7,3,8,9,3,9,9,2,2,27,7,2,44,0,0,12,2,4,5,8,69.6,0,1,4,83.0,1
https://www.unitedrugby.com/clubs/cardiff-rugby/efan-daniel,cardiff-rugby,EFAN,DANIEL,HOOKER,22,6'1'',105KG,,13,5,3,597,14,10,2,97.5,9,8,9,2,1,6,7,3,0,21,20,5,121,2,0,15,1,2,6,5,94.3,0,2,4,98.9,2
https://www.unitedrugby.com/clubs/cardiff-rugby/seb-davies,cardiff-rugby,SEB,DAVIES,LOCK,28,6'5'',117KG,,8,0,17,509,13,3,15,67.2,0,4,5,8,10,1,3,2,1,5,20,2,81,2,0,8,4,5,7,7,75.5,3,1,4,97.6,3
https://www.unitedrugby.com/clubs/cardiff-rugby/will-davies-king,cardiff-rugby,WILL,DAVIES-KING,PROP,26,6'4'',125KG,,89,4,4,182,28,2,4,84.9,3,7,6,2,3,10,7,1,3,6,8,5,12,1,1,3,3,5,4,10,85.9,5,5,3,69.8,4
https://www.unitedrugby.com/clubs/cardiff-rugby/corey-domachowski,cardiff-rugby,COREY,DOMACHOWSKI,PROP,28,6'0'',118KG,,52,8,15,385,30,7,20,68.9,9,5,9,8,2,1,8,2,2,14,7,4,23,1,1,15,0,3,2,7,52.3,5,4,1,80.8,2
https://www.unitedrugby.com/clubs/cardiff-rugby/ben-donnell,cardiff-rugby,BEN,DONNELL,FLANKER,24,6'6'',118KG,,1,11,0,573,22,13,60,72.3,10,2,7,6,0,0,6,2,0,10,12,0,13,0,0,10,0,5,2,9,77.9,3,4,2,94.5,1
https://www.unitedrugby.com/clubs/cardiff-rugby/taulupe-faletau,cardiff-rugby,TAULUPE,FALETAU,NO. 8,34,6'2'',115KG,,83,9,20,404,15,9,9,81.9,0,7,10,9,9,9,1,2,1,23,16,3,69,2,1,6,2,1,1,6,53.5,0,0,0,91.6,2
https://www.unitedrugby.com/clubs/cardiff-rugby/nathan-hudd,cardiff-rugby,NATHAN,HUDD,FLANKER,27,6'0'',100KG,,91,13,13,245,17,0,18,76.7,8,8,9,0,7,1,8,3,1,30,18,2,61,0,0,16,5,3,7,3,63.4,3,2,5,74.0,1
https://www.unitedrugby.com/clubs/cardiff-rugby/dafydd-hughes,cardiff-rugby,DAFYDD,HUGHES,HOOKER,29,5'10'',105KG,,59,1,14,590,21,13,24,66.4,10,7,0,9,4,6,10,2,0,2,27,3,119,0,1,12,5,3,0,3,78.3,3,0,5,63.1,3
https://www.unitedrugby.com/clubs/cardiff-rugby/alun-lawrence,cardiff-rugby,ALUN,LAWRENCE,FLANKER,26,6'3'',112KG,,70,0,8,470,28,1,3,66.8,6,3,7,4,3,8,7,0,3,29,6,2,88,0,0,3,5,2,7,5,90.4,3,2,1,56.9,0
https://www.unitedrugby.com/clubs/cardiff-rugby/rhys-litterick,cardiff-rugby,RHYS,LITTERICK,PROP,25,6'0'',120KG,,43,13,14,422,21,12,60,76.7,6,10,3,8,9,5,4,2,2,5,16,4,0,1,0,13,0,3,2,8,78.0,3,0,2,74.4,0
https://www.unitedrugby.com/clubs/cardiff-rugby/evan-lloyd,cardiff-rugby,EVAN,LLOYD,HOOKER,23,6'1'',115KG,,7,9,16,64,10,6,28,90.3,4,5,9,2,4,9,2,1,1,25,0,4,125,1,1,9,3,0,8,6,96.8,3,4,3,86.1,5
https://www.unitedrugby.com/clubs/cardiff-rugby/alex-mann,cardiff-rugby,ALEX,MANN,FLANKER,23,6'3'',97KG,,46,12,3,12,2,3,18,95.9,6,0,7,8,3,1,6,0,2,1,4,5,31,2,1,9,5,4,10,4,90.5,4,5,2,98.5,5
https://www.unitedrugby.com/clubs/cardiff-rugby/mackenzie-martin,cardiff-rugby,MACKENZIE,MARTIN,FLANKER,21,6'0'',96KG,,34,10,11,212,21,7,42,63.4,1,3,5,4,2,9,1,1,2,28,24,2,140,2,0,9,1,4,1,4,57.8,4,4,1,93.1,3
https://www.unitedrugby.com/clubs/cardiff-rugby/josh-mc-nally,cardiff-rugby,JOSH,MCNALLY,LOCK,34,6'7'',126KG,,77,8,4,241,9,10,1,75.7,3,7,10,8,4,9,2,1,1,13,5,4,31,2,1,11,5,5,9,7,69.4,5,0,2,60.2,2
https://www.unitedrugby.com/clubs/cardiff-rugby/sean-moore,cardiff-rugby,SEAN,MOORE,LOCK,27,6'3'',111KG,,80,9,4,492,9,12,9,64.0,6,0,8,9,3,8,8,1,0,8,25,4,55,1,0,1,3,2,8,5,83.4,5,2,5,86.0,1
https://www.unitedrugby.com/clubs/cardiff-rugby/lewis-morgan,cardiff-rugby,LEWIS,MORGAN,HOOKER,21,,,,35,8,10,212,29,2,60,60.7,2,2,10,5,0,6,3,0,1,17,1,2,90,1,0,8,2,4,5,0,96.9,4,3,5,64.5,0
https://www.unitedrugby.com/clubs/cardiff-rugby/gavin-parry,cardiff-rugby,GAVIN,PARRY,HOOKER,20,5'10'',110KG,,49,14,5,337,20,5,42,86.5,1,0,3,8,2,10,3,0,1,18,26,5,3,0,0,4,2,0,0,0,99.4,0,5,0,84.2,1
https://www.unitedrugby.com/clubs/cardiff-rugby/harrison-rock,cardiff-rugby,HARRISON,ROCK,PROP,19,,,,3,8,6,172,15,8,24,84.1,9,8,1,6,9,0,2,3,3,11,24,5,22,1,0,7,0,2,4,8,88.2,2,2,3,83.3,3
https://www.unitedrugby.com/clubs/cardiff-rugby/danny-southworth,cardiff-rugby,DANNY,SOUTHWORTH,PROP,25,6'0'',120KG,,1,5,13,163,11,0,19,66.5,1,1,1,6,9,8,4,0,2,30,15,5,28,0,0,20,3,1,9,7,78.7,0,0,5,63.6,2
https://www.unitedrugby.com/clubs/cardiff-rugby/dan-thomas,cardiff-rugby,DAN,THOMAS,FLANKER,31,6'0'',101KG,,5,14,10,464,1,0,47,69.4,0,8,4,7,7,1,2,2,0,30,21,5,97,0,0,13,1,4,8,5,87.8,5,2,0,61.7,1
https://www.unitedrugby.com/clubs/cardiff-rugby/rory-thornton,cardiff-rugby,RORY,THORNTON,LOCK,29,6'7'',121KG,,53,7,12,496,8,7,18,60.9,4,3,9,6,6,3,8,1,2,12,4,0,148,1,0,6,3,3,5,0,63.7,4,1,3,55.2,2
https://www.unitedrugby.com/clubs/cardiff-rugby/cameron-tyler-growcott,cardiff-rugby,CAMERON,TYLER-GROWCOTT,PROP,20,5'10'',110KG,,3,13,1,394,23,2,22,93.4,5,1,8,8,1,8,2,3,1,25,4,2,29,0,0,6,1,0,6,1,64.2,0,2,5,52.5,0
https://www.unitedrugby.com/clubs/cardiff-rugby/benji-williams,cardiff-rugby,BENJI,WILLIAMS,NO. 8,22,,,,53,10,6,307,2,4,23,99.0,5,3,2,10,0,3,1,0,0,11,30,0,89,0,1,8,1,0,3,9,82.7,2,4,3,92.9,1
https://www.unitedrugby.com/clubs/cardiff-rugby/teddy-williams,cardiff-rugby,TEDDY,WILLIAMS,LOCK,24,6'7'',118KG,,92,14,19,182,23,0,10,65.4,8,10,7,8,2,2,4,1,0,11,11,4,147,2,1,2,3,4,0,2,93.6,3,4,2,52.5,4
https://www.unitedrugby.com/clubs/cardiff-rugby/thomas-young,cardiff-rugby,THOMAS,YOUNG,FLANKER,32,5'11'',101KG,,62,15,3,509,29,4,45,69.3,3,10,3,5,4,0,5,0,0,17,2,0,143,0,0,13,4,5,4,9,98.5,1,1,0,54.4,0
https://www.unitedrugby.com/clubs/cardiff-rugby/lucas-de-la-rua,cardiff-rugby,LUCAS,DE LA RUA,FLANKER,20,6'1'',104KG,,17,12,7,545,24,10,33,94.7,0,9,5,6,9,6,0,3,0,8,29,5,66,1,0,16,3,1,1,2,67.1,4,5,3,61.9,2
https://www.unitedrugby.com/clubs/cardiff-rugby/josh-adams,cardiff-rugby,JOSH,ADAMS,WING,29,6'0'',96KG,,89,0,19,563,29,15,54,97.1,5,5,9,1,10,5,10,0,3,16,15,4,100,1,0,17,1,3,7,1,89.8,4,2,3,94.4,3
https://www.unitedrugby.com/clubs/cardiff-rugby/jacob-beetham,cardiff-rugby,JACOB,BEETHAM,FULLBACK,23,6'1'',100KG,,43,9,20,593,14,5,27,76.8,4,10,5,8,0,9,5,0,0,20,5,0,57,0,1,11,5,1,3,1,92.6,2,5,2,66.6,4
